SRA acc,Biosample acc,Bioproject acc,Taxonomia acc,Instrumento,Amostras,Bases,Tamanho,Organismo,Estratégia,Recurso,Seleção,Protocolo,Criação
SRR38670435,SAMN60238188,PRJNA1467272,7160,Illumina NovaSeq X Plus,149452497,44.8,14302.33,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/17
SRR38670436,SAMN60238187,PRJNA1467272,7160,Illumina NovaSeq X Plus,214302521,64.3,20773.16,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/17
SRR38505797,SAMN59723964,PRJNA1464604,7160,Illumina NovaSeq X Plus,160137399,48.0,15445.47,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38505798,SAMN59723963,PRJNA1464604,7160,Illumina NovaSeq X Plus,187216785,56.2,17698.49,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499036,SAMN59721311,PRJNA1464549,7160,Illumina NovaSeq X Plus,116376105,34.9,10966.26,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499037,SAMN59721310,PRJNA1464549,7160,Illumina NovaSeq X Plus,109284054,32.8,10358.14,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499038,SAMN59721309,PRJNA1464549,7160,Illumina NovaSeq X Plus,156079019,46.8,14746.09,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499039,SAMN59721308,PRJNA1464549,7160,Illumina NovaSeq X Plus,135716138,40.7,13068.46,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499040,SAMN59721307,PRJNA1464549,7160,Illumina NovaSeq X Plus,134131460,40.2,12728.99,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499041,SAMN59721306,PRJNA1464549,7160,Illumina NovaSeq X Plus,125261146,37.6,11793.57,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499042,SAMN59721305,PRJNA1464549,7160,Illumina NovaSeq X Plus,111930812,33.6,10479.34,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499043,SAMN59721304,PRJNA1464549,7160,Illumina NovaSeq X Plus,129021868,38.7,12124.51,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499044,SAMN59721303,PRJNA1464549,7160,Illumina NovaSeq X Plus,124284554,37.3,11581.61,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38499045,SAMN59721302,PRJNA1464549,7160,Illumina NovaSeq X Plus,137937983,41.4,12882.02,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/11
SRR38485877,SAMN59700991,PRJNA1464255,7160,Illumina NovaSeq X Plus,96395499,28.9,9561.15,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/10
SRR38485878,SAMN59700990,PRJNA1464255,7160,Illumina NovaSeq X Plus,82532804,24.8,7919.93,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/10
SRR38362900,SAMN58282032,PRJNA1461813,7160,Illumina NovaSeq X Plus,144857527,43.5,13306.49,Aedes albopictus,RNA-Seq,Metatranscriptomic,Cdna,,2026/05/04
SRR38067932,SAMN57240635,PRJNA1452772,7160,Illumina NovaSeq 6000,22211147,6.7,2252.4,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,Aedes albopictus RNA was extracted using Zymo Direct-Zol RNA miniprep extraction method The library preparation was prepared using the “NEBNext® Ultra™ II RNA Library Prep Kit for Illumina”,2026/04/16
SRR38067933,SAMN57240636,PRJNA1452772,7160,Illumina NovaSeq 6000,20719056,6.3,2083.18,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,Aedes albopictus RNA was extracted using Zymo Direct-Zol RNA miniprep extraction method The library preparation was prepared using the “NEBNext® Ultra™ II RNA Library Prep Kit for Illumina”,2026/04/16
SRR38067934,SAMN57240637,PRJNA1452772,7160,Illumina NovaSeq 6000,17992701,5.4,1856.28,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,Aedes albopictus RNA was extracted using Zymo Direct-Zol RNA miniprep extraction method The library preparation was prepared using the “NEBNext® Ultra™ II RNA Library Prep Kit for Illumina”,2026/04/16
SRR38067935,SAMN57240638,PRJNA1452772,7160,Illumina NovaSeq 6000,15775155,4.8,1613.43,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,Aedes albopictus RNA was extracted using Zymo Direct-Zol RNA miniprep extraction method The library preparation was prepared using the “NEBNext® Ultra™ II RNA Library Prep Kit for Illumina”,2026/04/16
ERR16339240,SAMEA121113356,PRJEB93907,7160,Illumina NovaSeq 6000,251881453,75.6,22615.29,Aedes albopictus,Targeted-Capture,Metagenomic,Pcr,,2026/03/01
ERR15462081,SAMEA119567447,PRJEB96266,7160,NextSeq 1000,19201370,5.8,1971.23,,RNA-Seq,Transcriptomic,Unspecified,,2026/02/06
SRR36825005,SAMN54568566,PRJNA1401450,7160,Illumina NovaSeq 6000,23262564,7.0,2134.37,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825006,SAMN54568565,PRJNA1401450,7160,Illumina NovaSeq 6000,27531240,8.3,2580.76,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825007,SAMN54568564,PRJNA1401450,7160,Illumina NovaSeq 6000,24248300,7.3,2244.3,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825008,SAMN54568563,PRJNA1401450,7160,Illumina NovaSeq 6000,24834017,7.5,2100.9,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825009,SAMN54568562,PRJNA1401450,7160,Illumina NovaSeq 6000,23847048,7.2,2199.72,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825010,SAMN54568561,PRJNA1401450,7160,Illumina NovaSeq 6000,24577842,7.4,2272.23,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825011,SAMN54568560,PRJNA1401450,7160,Illumina NovaSeq 6000,23594303,7.1,2176.42,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825012,SAMN54568580,PRJNA1401450,7160,Illumina NovaSeq 6000,26279094,7.9,2403.45,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825013,SAMN54568579,PRJNA1401450,7160,Illumina NovaSeq 6000,26472468,7.9,2239.8,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825014,SAMN54568578,PRJNA1401450,7160,Illumina NovaSeq 6000,24490494,7.3,2084.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825015,SAMN54568577,PRJNA1401450,7160,Illumina NovaSeq 6000,24032981,7.2,2017.81,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825016,SAMN54568559,PRJNA1401450,7160,Illumina NovaSeq 6000,28387462,8.5,2459.25,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825017,SAMN54568576,PRJNA1401450,7160,Illumina NovaSeq 6000,24663034,7.4,2351.15,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825018,SAMN54568575,PRJNA1401450,7160,Illumina NovaSeq 6000,25376717,7.6,2375.7,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825019,SAMN54568574,PRJNA1401450,7160,Illumina NovaSeq 6000,23577901,7.1,2254.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825020,SAMN54568573,PRJNA1401450,7160,Illumina NovaSeq 6000,23774022,7.1,2258.11,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825021,SAMN54568572,PRJNA1401450,7160,Illumina NovaSeq 6000,27915991,8.4,2476.27,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825022,SAMN54568571,PRJNA1401450,7160,Illumina NovaSeq 6000,23871043,7.2,2020.05,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825023,SAMN54568570,PRJNA1401450,7160,Illumina NovaSeq 6000,24133276,7.2,2096.46,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825024,SAMN54568569,PRJNA1401450,7160,Illumina NovaSeq 6000,23890877,7.2,2029.5,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825025,SAMN54568568,PRJNA1401450,7160,Illumina NovaSeq 6000,23983713,7.2,2058.94,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825026,SAMN54568567,PRJNA1401450,7160,Illumina NovaSeq 6000,24085911,7.2,2210.1,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825027,SAMN54568558,PRJNA1401450,7160,Illumina NovaSeq 6000,31534148,9.5,2796.21,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
SRR36825028,SAMN54568557,PRJNA1401450,7160,Illumina NovaSeq 6000,23548338,7.1,2024.35,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/03/31
ERR16091965,SAMEA117710582,PRJEB85931,7160,Illumina NovaSeq 6000,19173321,5.6,1832.21,Aedes albopictus,RNA-Seq,Metatranscriptomic,Rt-Pcr,,2026/01/12
