id,createdate,updatedate,Run_acc,Run_total_spots,Run_total_bases,Run_load_done,Run_is_public,Run_cluster_name,Run_static_data_available,Title,Platform,Platform_instrument_model,Statistics_total_runs,Statistics_total_spots,Statistics_total_bases,Statistics_total_size,Statistics_load_done,Statistics_cluster_name,LIBRARY_NAME,LIBRARY_STRATEGY,LIBRARY_SOURCE,LIBRARY_SELECTION,Submitter_acc,Submitter_center_name,Submitter_contact_name,Submitter_lab_name,Experiment_acc,Experiment_ver,Experiment_status,Experiment_name,Study_acc,Study_name,Organism_taxid,Organism_ScientificName,Sample_acc,Sample_name,Instrument_ILLUMINA,Bioproject,Biosample,LIBRARY_CONSTRUCTION_PROTOCOL,Instrument_PACBIO_SMRT
26055249,2023/08/08,2023/01/04,SRR22968076,3065234,925700668,true,true,public,true,An Enduring Enemy: A Comprehensive Phylogeny and the Evolution of Host Use in Mosquitoes,ILLUMINA,Illumina NovaSeq 6000,1,3065234,925700668,315615564,true,public,SAB05RG,Targeted-Capture,GENOMIC,Hybrid Selection,SRA1561027,NC State Univeristy,Brian Keith Cassel,Entomology and Plant Pathology,SRX18924386,1,public,An Enduring Enemy: A Comprehensive Phylogeny and the Evolution of Host Use in Mosquitoes,SRP415740,An Enduring Enemy: Phylogenomics Reveals the History of Host Use in Mosquitoes,865939,Sabethes chloropterus,SRS16350436,,Illumina NovaSeq 6000,PRJNA907815,SAMN31999455,,
26055248,2023/08/08,2023/01/04,SRR22968077,2486009,750774718,true,true,public,true,An Enduring Enemy: A Comprehensive Phylogeny and the Evolution of Host Use in Mosquitoes,ILLUMINA,Illumina NovaSeq 6000,1,2486009,750774718,261180793,true,public,SAB01RG,Targeted-Capture,GENOMIC,Hybrid Selection,SRA1561027,NC State Univeristy,Brian Keith Cassel,Entomology and Plant Pathology,SRX18924385,1,public,An Enduring Enemy: A Comprehensive Phylogeny and the Evolution of Host Use in Mosquitoes,SRP415740,An Enduring Enemy: Phylogenomics Reveals the History of Host Use in Mosquitoes,53552,Sabethes cyaneus,SRS16350435,,Illumina NovaSeq 6000,PRJNA907815,SAMN31999454,,
24702867,2022/10/03,2022/10/03,SRR21789874,113787023,14223377875,true,true,public,true,Female Sabethes cyaneus salivary glands,ILLUMINA,Illumina HiSeq 2500,1,113787023,14223377875,6545983376,true,public,ScF_SG,RNA-Seq,TRANSCRIPTOMIC,RANDOM,SRA1512544,National Institute of Allergy and Infectious Disea,Leticia Smith,Laboratory of Malaria and Vector Research,SRX17783880,1,public,Female Sabethes cyaneus salivary glands,SRP400844,An insight into the female and male Sabethes cyaneus mosquito salivary glands transcriptome,53552,Sabethes cyaneus,SRS15309913,,Illumina HiSeq 2500,PRJNA885106,SAMN31066106,,
24702866,2022/10/03,2022/10/03,SRR21789875,103330591,12916323875,true,true,public,true,Male Sabethes cyaneus salivary glands,ILLUMINA,Illumina HiSeq 2500,1,103330591,12916323875,5946552357,true,public,ScM_SG,RNA-Seq,TRANSCRIPTOMIC,RANDOM,SRA1512544,National Institute of Allergy and Infectious Disea,Leticia Smith,Laboratory of Malaria and Vector Research,SRX17783879,1,public,Male Sabethes cyaneus salivary glands,SRP400844,An insight into the female and male Sabethes cyaneus mosquito salivary glands transcriptome,53552,Sabethes cyaneus,SRS15309912,,Illumina HiSeq 2500,PRJNA885106,SAMN31066105,,
21020107,2022/04/02,2022/04/01,ERR9439513,1446663,14997448454,true,true,public,true,Sequel II sequencing,PACBIO_SMRT,Sequel II,1,1446663,14997448454,9173661225,true,public,DN772543B-A1,WGS,GENOMIC,RANDOM,ERA11254398,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8981386,1,public,Sequel II sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527429,,,PRJEB51767,SAMEA12928296,PacBio - HiFi,Sequel II
21005186,2022/04/01,2022/03/31,ERR9439515,1119217,11155907523,true,true,public,true,Sequel II sequencing,PACBIO_SMRT,Sequel II,1,1119217,11155907523,6995076804,true,public,DN772543B-A1,WGS,GENOMIC,RANDOM,ERA11254398,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8981388,1,public,Sequel II sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527429,,,PRJEB51767,SAMEA12928296,PacBio - HiFi,Sequel II
21005185,2022/04/01,2022/03/31,ERR9439514,712735,10284843543,true,true,public,true,Sequel II sequencing,PACBIO_SMRT,Sequel II,1,712735,10284843543,8167165310,true,public,DN772543B-B1,WGS,GENOMIC,RANDOM,ERA11254398,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8981387,1,public,Sequel II sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,,PRJEB51767,SAMEA12928297,PacBio - HiFi,Sequel II
20856634,2022/03/25,2022/03/24,ERR9356863,25090189,7577237078,true,true,public,true,Illumina HiSeq 4000 paired end sequencing,ILLUMINA,Illumina HiSeq 4000,1,25090189,7577237078,2852245192,true,public,,RNA-Seq,TRANSCRIPTOMIC,PolyA,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898765,1,public,Illumina HiSeq 4000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527337,,Illumina HiSeq 4000,PRJEB51767,SAMEA12928204,RNA-seq dUTP eukaryotic,
20856633,2022/03/25,2022/03/24,ERR9356862,21873000,6605646000,true,true,public,true,Illumina NovaSeq 6000 paired end sequencing,ILLUMINA,Illumina NovaSeq 6000,1,21873000,6605646000,2130671475,true,public,,WGS,GENOMIC,RANDOM,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898764,1,public,Illumina NovaSeq 6000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,Illumina NovaSeq 6000,PRJEB51767,SAMEA12928297,Chromium genome,
20856632,2022/03/25,2022/03/24,ERR9356861,23122787,6983081674,true,true,public,true,Illumina NovaSeq 6000 paired end sequencing,ILLUMINA,Illumina NovaSeq 6000,1,23122787,6983081674,2247945499,true,public,,WGS,GENOMIC,RANDOM,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898763,1,public,Illumina NovaSeq 6000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,Illumina NovaSeq 6000,PRJEB51767,SAMEA12928297,Chromium genome,
20856631,2022/03/25,2022/03/24,ERR9356860,22077405,6667376310,true,true,public,true,Illumina NovaSeq 6000 paired end sequencing,ILLUMINA,Illumina NovaSeq 6000,1,22077405,6667376310,2185561442,true,public,,WGS,GENOMIC,RANDOM,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898762,1,public,Illumina NovaSeq 6000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,Illumina NovaSeq 6000,PRJEB51767,SAMEA12928297,Chromium genome,
20856630,2022/03/25,2022/03/24,ERR9356859,25122427,7586972954,true,true,public,true,Illumina NovaSeq 6000 paired end sequencing,ILLUMINA,Illumina NovaSeq 6000,1,25122427,7586972954,2452672270,true,public,,WGS,GENOMIC,RANDOM,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898761,1,public,Illumina NovaSeq 6000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,Illumina NovaSeq 6000,PRJEB51767,SAMEA12928297,Chromium genome,
20856629,2022/03/25,2022/03/24,ERR9356858,188522228,56933712856,true,true,public,true,Illumina NovaSeq 6000 paired end sequencing,ILLUMINA,Illumina NovaSeq 6000,1,188522228,56933712856,18169592934,true,public,,Hi-C,GENOMIC,Restriction Digest,ERA10767797,WELLCOME SANGER INSTITUTE,European Nucleotide Archive,European Nucleotide Archive,ERX8898760,1,public,Illumina NovaSeq 6000 paired end sequencing,ERP136409,"Sabethes cyaneus, genomic and transcriptomic data",53552,Sabethes cyaneus,ERS10527430,,Illumina NovaSeq 6000,PRJEB51767,SAMEA12928297,Hi-C - Arima v2,
